,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
556041,10513154,HZ254531,05/07/2016 12:55:00 AM,002XX E 87TH ST,0460,BATTERY,SIMPLE,ALLEY,False,False,632,6.0,6.0,44.0,08B,1179232.0,1847358.0,2016,05/14/2016 03:53:39 PM,41.736436833,-87.618936432,"(41.736436833, -87.618936432)"
556887,10513157,HZ254649,05/07/2016 02:30:00 AM,063XX S ASHLAND AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,725,7.0,16.0,67.0,03,1166756.0,1862739.0,2016,05/14/2016 03:53:39 PM,41.778919499,-87.664205995,"(41.778919499, -87.664205995)"
556973,10513158,HZ254684,05/07/2016 04:32:00 AM,095XX S STONY ISLAND AVE,0560,ASSAULT,SIMPLE,STREET,False,True,511,5.0,8.0,50.0,08A,1188503.0,1842146.0,2016,05/14/2016 03:53:39 PM,41.721918366,-87.585137009,"(41.721918366, -87.585137009)"
557017,10513159,HZ254639,05/07/2016 01:15:00 AM,073XX S JEFFERY BLVD,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,333,3.0,5.0,43.0,06,1190818.0,1856531.0,2016,05/14/2016 03:53:39 PM,41.761336609,-87.576194093,"(41.761336609, -87.576194093)"
557039,10513161,HZ254623,05/07/2016 02:55:00 AM,005XX N MARSHFIELD AVE,041A,BATTERY,AGGRAVATED: HANDGUN,VEHICLE NON-COMMERCIAL,False,False,1215,12.0,26.0,24.0,04B,1165301.0,1903712.0,2016,05/14/2016 03:53:39 PM,41.891384556,-87.668377345,"(41.891384556, -87.668377345)"
557061,10513164,HZ254653,05/07/2016 03:25:00 AM,061XX S ST LAWRENCE AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,False,False,313,3.0,20.0,42.0,04B,1181293.0,1864355.0,2016,05/14/2016 03:53:39 PM,41.783031193,-87.610862705,"(41.783031193, -87.610862705)"
557106,10513165,HZ254656,05/07/2016 01:40:00 AM,093XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,633,6.0,9.0,49.0,08B,1180554.0,1843158.0,2016,05/14/2016 03:53:39 PM,41.72488131,-87.614221662,"(41.72488131, -87.614221662)"
557128,10513168,HZ254674,05/07/2016 04:10:00 AM,071XX W HIGGINS AVE,0460,BATTERY,SIMPLE,SIDEWALK,True,False,1613,16.0,41.0,10.0,08B,1127782.0,1936028.0,2016,05/14/2016 03:53:39 PM,41.980778822,-87.80543826,"(41.980778822, -87.80543826)"
558041,10513171,HZ254664,05/07/2016 04:00:00 AM,034XX W OHIO ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,False,1121,11.0,27.0,23.0,14,1153127.0,1903782.0,2016,05/14/2016 03:53:39 PM,41.89182683,-87.713084988,"(41.89182683, -87.713084988)"
558719,10513172,HZ254627,05/07/2016 03:00:00 AM,067XX S CLAREMONT AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,False,False,832,8.0,17.0,66.0,04B,1161895.0,1859872.0,2016,05/14/2016 03:53:39 PM,41.771154468,-87.682106496,"(41.771154468, -87.682106496)"
558850,10513174,HZ254635,05/07/2016 01:00:00 AM,036XX W HURON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,1112,11.0,27.0,23.0,14,1152124.0,1904429.0,2016,05/14/2016 03:53:39 PM,41.893622099,-87.716751506,"(41.893622099, -87.716751506)"
558982,10513175,HZ254543,05/07/2016 01:22:00 AM,068XX S CAMPBELL AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,832,8.0,15.0,66.0,04B,1160890.0,1859145.0,2016,05/14/2016 03:53:39 PM,41.769180299,-87.68581055,"(41.769180299, -87.68581055)"
559574,10513178,HZ254663,05/07/2016 03:50:00 AM,028XX N MILWAUKEE AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,PARKING LOT/GARAGE(NON.RESID.),True,False,1412,14.0,35.0,21.0,26,1152705.0,1918869.0,2016,05/14/2016 03:53:39 PM,41.933235274,-87.714234869,"(41.933235274, -87.714234869)"
559793,10513179,HZ254676,05/07/2016 01:50:00 AM,067XX S ASHLAND AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,725,7.0,15.0,67.0,03,1166831.0,1860122.0,2016,05/14/2016 03:53:39 PM,41.771736514,-87.66400571,"(41.771736514, -87.66400571)"
560121,10513180,HZ254514,05/07/2016 12:30:00 AM,076XX S HALSTED ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,621,6.0,17.0,71.0,03,1172288.0,1854297.0,2016,05/14/2016 03:53:39 PM,41.755633717,-87.644173224,"(41.755633717, -87.644173224)"
560165,10513181,HZ254634,05/07/2016 02:40:00 AM,007XX E 76TH ST,0330,ROBBERY,AGGRAVATED,STREET,False,False,624,6.0,6.0,69.0,03,1182293.0,1854775.0,2016,05/14/2016 03:53:39 PM,41.75671962,-87.607492839,"(41.75671962, -87.607492839)"
560297,10513182,HZ254666,05/07/2016 03:40:00 AM,005XX W ARLINGTON PL,0460,BATTERY,SIMPLE,ALLEY,False,False,1935,19.0,43.0,7.0,08B,1172204.0,1916654.0,2016,05/14/2016 03:53:39 PM,41.926748485,-87.642643335,"(41.926748485, -87.642643335)"
560319,10513183,HZ254638,05/07/2016 03:00:00 AM,095XX S PRAIRIE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,511,5.0,6.0,49.0,08A,1179602.0,1841750.0,2016,05/14/2016 03:53:39 PM,41.721039351,-87.617751689,"(41.721039351, -87.617751689)"
560341,10513184,HZ254511,05/07/2016 12:10:00 AM,015XX W 83RD ST,0560,ASSAULT,SIMPLE,APARTMENT,False,True,614,6.0,21.0,71.0,08A,1167614.0,1849692.0,2016,05/14/2016 03:53:39 PM,41.743098423,-87.661434091,"(41.743098423, -87.661434091)"
560363,10513186,HZ254631,05/07/2016 02:50:00 AM,044XX N SPRINGFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1723,17.0,39.0,14.0,08B,1149594.0,1929189.0,2016,05/14/2016 03:53:39 PM,41.961615243,-87.725398654,"(41.961615243, -87.725398654)"
560605,10513187,HZ254680,05/07/2016 04:00:00 AM,015XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1424,14.0,1.0,24.0,08B,1163008.0,1910416.0,2016,05/14/2016 03:53:39 PM,41.909829291,-87.676609962,"(41.909829291, -87.676609962)"
560910,10513189,HZ254675,05/07/2016 03:40:00 AM,013XX W ROOSEVELT RD,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,1231,12.0,2.0,28.0,04B,1167724.0,1894825.0,2016,05/14/2016 03:53:39 PM,41.866946079,-87.659735008,"(41.866946079, -87.659735008)"
561562,10513191,HZ254616,05/07/2016 02:30:00 AM,001XX N LOCKWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),False,True,1523,15.0,28.0,25.0,08B,1141026.0,1900492.0,2016,05/14/2016 03:53:39 PM,41.883030103,-87.757608135,"(41.883030103, -87.757608135)"
561628,10513194,HZ254621,05/07/2016 02:22:00 AM,032XX W MAYPOLE AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,1123,11.0,28.0,27.0,04B,1154763.0,1900799.0,2016,05/14/2016 03:53:39 PM,41.883608576,-87.707156605,"(41.883608576, -87.707156605)"
561672,10513196,HZ254698,05/07/2016 03:55:00 AM,034XX W OHIO ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1121,11.0,27.0,23.0,08B,1153190.0,1903783.0,2016,05/14/2016 03:53:39 PM,41.891828324,-87.712853589,"(41.891828324, -87.712853589)"
562352,10513197,HZ254682,05/07/2016 04:38:00 AM,069XX S JUSTINE ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,False,False,734,7.0,17.0,67.0,04B,1167205.0,1858628.0,2016,05/14/2016 03:53:39 PM,41.767628788,-87.66267745,"(41.767628788, -87.66267745)"
562374,10513198,HZ254643,05/07/2016 02:00:00 AM,030XX W JACKSON BLVD,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,1124,11.0,28.0,27.0,02,1155948.0,1898528.0,2016,05/14/2016 03:53:39 PM,41.877352918,-87.702866432,"(41.877352918, -87.702866432)"
562704,10513203,HZ254690,05/07/2016 04:44:00 AM,033XX W 13TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1021,10.0,24.0,29.0,08B,1154398.0,1893847.0,2016,05/14/2016 03:53:39 PM,41.864538857,-87.708682703,"(41.864538857, -87.708682703)"
562945,10513204,HZ254679,05/07/2016 04:00:00 AM,004XX S CENTRAL AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,False,False,1513,15.0,29.0,25.0,04B,1139129.0,1897372.0,2016,05/14/2016 03:53:39 PM,41.874503125,-87.764650028,"(41.874503125, -87.764650028)"
562966,10513205,HZ254701,05/07/2016 05:22:00 AM,100XX S CHARLES ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2213,22.0,21.0,72.0,14,1167997.0,1837988.0,2016,05/14/2016 03:53:39 PM,41.710972683,-87.660366026,"(41.710972683, -87.660366026)"
562988,10513207,HZ254673,05/07/2016 01:00:00 AM,003XX N CARPENTER ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1214,12.0,27.0,28.0,06,1169402.0,1902267.0,2016,05/14/2016 03:53:39 PM,41.88733118,-87.653358442,"(41.88733118, -87.653358442)"
563010,10513209,HZ254689,05/07/2016 04:24:00 AM,0000X W 79TH ST,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,False,False,623,6.0,6.0,44.0,15,1177483.0,1852629.0,2016,05/14/2016 03:53:39 PM,41.750940757,-87.625185222,"(41.750940757, -87.625185222)"
563208,10513211,HZ254665,05/07/2016 03:15:00 AM,054XX W LE MOYNE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2532,25.0,37.0,25.0,14,1139992.0,1909446.0,2016,05/14/2016 03:53:39 PM,41.907619939,-87.761185828,"(41.907619939, -87.761185828)"
563361,10513212,HZ254608,05/07/2016 01:54:00 AM,077XX S PEORIA ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,621,6.0,17.0,71.0,05,1171648.0,1853485.0,2016,05/14/2016 03:53:39 PM,41.75341953,-87.646542419,"(41.75341953, -87.646542419)"
563513,10513213,HZ254709,05/07/2016 05:45:00 AM,018XX W WASHINGTON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1223,12.0,27.0,28.0,08B,1164118.0,1900723.0,2016,05/14/2016 03:53:39 PM,41.883207577,-87.672806431,"(41.883207577, -87.672806431)"
563535,10513216,HZ254707,05/07/2016 05:40:00 AM,0000X E LAKE ST,0860,THEFT,RETAIL THEFT,OTHER,False,False,111,1.0,42.0,32.0,06,1176905.0,1901744.0,2016,05/14/2016 03:53:39 PM,41.885729587,-87.625821329,"(41.885729587, -87.625821329)"
564342,10513222,HZ254702,05/07/2016 05:15:00 AM,008XX W LAWRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,NURSING HOME/RETIREMENT HOME,True,True,2024,20.0,48.0,3.0,08B,1169785.0,1932083.0,2016,05/14/2016 03:53:39 PM,41.96913938,-87.651080731,"(41.96913938, -87.651080731)"
564431,10513224,HZ254658,05/07/2016 03:30:00 AM,032XX W MAYPOLE AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,1123,11.0,28.0,27.0,04B,1154770.0,1900800.0,2016,05/14/2016 03:53:39 PM,41.88361118,-87.707130873,"(41.88361118, -87.707130873)"
564804,10513226,HZ254706,05/07/2016 05:20:00 AM,026XX E 126TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,True,433,4.0,10.0,55.0,14,1195773.0,1821901.0,2016,05/14/2016 03:53:39 PM,41.666187514,-87.559175147,"(41.666187514, -87.559175147)"
564911,10513231,HZ254715,05/07/2016 06:00:00 AM,048XX W QUINCY ST,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,1533,15.0,28.0,25.0,03,1144168.0,1898564.0,2016,05/14/2016 03:53:39 PM,41.877681015,-87.746118855,"(41.877681015, -87.746118855)"
565259,10513238,HZ254735,05/07/2016 03:00:00 AM,039XX W MONROE ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,False,1122,11.0,28.0,26.0,04A,1150239.0,1899373.0,2016,05/14/2016 03:53:39 PM,41.879784857,-87.723806409,"(41.879784857, -87.723806409)"
565502,10513242,HZ254708,05/07/2016 05:00:00 AM,014XX N TALMAN AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1423,14.0,26.0,24.0,08B,1158484.0,1909449.0,2016,05/14/2016 03:53:39 PM,41.907269612,-87.693255784,"(41.907269612, -87.693255784)"
565655,10513244,HZ254749,05/07/2016 07:32:00 AM,013XX W 14TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,RESIDENCE,True,False,1233,12.0,2.0,28.0,26,1167734.0,1893523.0,2016,05/14/2016 03:53:39 PM,41.863373068,-87.659735801,"(41.863373068, -87.659735801)"
567611,10513250,HZ254748,05/07/2016 07:15:00 AM,051XX W OAKDALE AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENTIAL YARD (FRONT/BACK),True,True,2521,25.0,31.0,19.0,04B,1141663.0,1919130.0,2016,05/14/2016 03:53:39 PM,41.934163113,-87.754807405,"(41.934163113, -87.754807405)"
568110,10513252,HZ254779,05/07/2016 05:30:00 AM,048XX W CORNELIA AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,1634,16.0,38.0,15.0,06,1143468.0,1922831.0,2016,05/14/2016 03:53:39 PM,41.944285391,-87.748081125,"(41.944285391, -87.748081125)"
568435,10513257,HZ254778,05/07/2016 12:01:00 AM,012XX N PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2534,25.0,27.0,23.0,14,1149497.0,1907829.0,2016,05/14/2016 03:53:39 PM,41.903003447,-87.726311296,"(41.903003447, -87.726311296)"
568610,10513263,HZ254775,05/07/2016 05:30:00 AM,082XX S ELLIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,631,6.0,8.0,44.0,14,1184330.0,1850584.0,2016,05/14/2016 03:53:39 PM,41.745171682,-87.600158569,"(41.745171682, -87.600158569)"
568783,10513264,HZ254737,05/07/2016 06:30:00 AM,117XX S PERRY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,522,5.0,34.0,53.0,14,1177689.0,1827067.0,2016,05/14/2016 03:53:39 PM,41.680790541,-87.625200761,"(41.680790541, -87.625200761)"
568805,10513265,HZ254757,05/07/2016 12:01:00 AM,007XX N SEDGWICK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,1831,18.0,42.0,8.0,14,1173405.0,1905415.0,2016,05/14/2016 03:53:39 PM,41.895881491,-87.638564761,"(41.895881491, -87.638564761)"
568871,10513276,HZ254765,05/07/2016 07:00:00 AM,008XX E 52ND ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),False,False,233,2.0,4.0,41.0,06,1182734.0,1870714.0,2016,05/14/2016 03:53:39 PM,41.800447492,-87.605382187,"(41.800447492, -87.605382187)"
569157,10513278,HZ254796,05/07/2016 09:00:00 AM,035XX W EVERGREEN AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,1422,14.0,26.0,23.0,08B,1152456.0,1908753.0,2016,05/14/2016 03:53:39 PM,41.90548102,-87.715417795,"(41.90548102, -87.715417795)"
569287,10513281,HZ254688,05/07/2016 04:25:00 AM,014XX N ASHLAND AVE,0860,THEFT,RETAIL THEFT,STREET,True,False,1433,14.0,1.0,24.0,06,1165454.0,1909993.0,2016,05/14/2016 03:53:39 PM,41.908616809,-87.667636458,"(41.908616809, -87.667636458)"
569331,10513792,HZ255477,05/07/2016 06:49:00 PM,071XX S INDIANA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,323,3.0,6.0,69.0,08B,1178837.0,1857753.0,2016,05/14/2016 03:53:39 PM,41.764970896,-87.620067857,"(41.764970896, -87.620067857)"
569878,10513287,HZ254786,05/07/2016 08:35:00 AM,047XX N MONTICELLO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,1723,17.0,33.0,14.0,14,1151202.0,1931152.0,2016,05/14/2016 03:53:39 PM,41.96697039,-87.719434998,"(41.96697039, -87.719434998)"
569944,10513291,HZ254825,05/07/2016 09:30:00 AM,009XX N LAVERGNE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,1531,15.0,37.0,25.0,18,1142858.0,1905603.0,2016,05/14/2016 03:53:39 PM,41.897021372,-87.75075343,"(41.897021372, -87.75075343)"
570055,10513293,HZ254814,05/07/2016 03:00:00 AM,055XX S ALBANY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,824,8.0,14.0,63.0,14,1156659.0,1867643.0,2016,05/14/2016 03:53:39 PM,41.792586415,-87.701090498,"(41.792586415, -87.701090498)"
570099,10513296,HZ254841,05/07/2016 12:01:00 AM,087XX S BEVERLY AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2221,22.0,21.0,71.0,06,1164829.0,1846526.0,2016,05/14/2016 03:53:39 PM,41.734469662,-87.671727664,"(41.734469662, -87.671727664)"
570665,10513302,HZ254846,05/07/2016 09:40:00 AM,033XX W LAWRENCE AVE,1330,CRIMINAL TRESPASS,TO LAND,MEDICAL/DENTAL OFFICE,False,False,1713,17.0,39.0,14.0,26,1153287.0,1931696.0,2016,05/14/2016 03:53:39 PM,41.96842191,-87.711754177,"(41.96842191, -87.711754177)"
571586,10513303,HZ254844,05/07/2016 09:55:00 AM,077XX S ABERDEEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,612,6.0,17.0,71.0,08B,1170328.0,1853388.0,2016,05/14/2016 03:53:39 PM,41.753182162,-87.651382545,"(41.753182162, -87.651382545)"
571718,10513321,HZ254839,05/07/2016 12:01:00 AM,027XX N FRANCISCO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1411,14.0,35.0,22.0,07,1156571.0,1917977.0,2016,05/14/2016 03:53:39 PM,41.930710076,-87.700051756,"(41.930710076, -87.700051756)"
572134,10513323,HZ254769,05/07/2016 07:00:00 AM,003XX N ORLEANS ST,1330,CRIMINAL TRESPASS,TO LAND,BRIDGE,True,False,1831,18.0,42.0,8.0,26,1173876.0,1902793.0,2016,05/14/2016 03:53:39 PM,41.888676095,-87.636913058,"(41.888676095, -87.636913058)"
572521,10513330,HZ254780,05/07/2016 07:00:00 AM,038XX N SACRAMENTO AVE,0810,THEFT,OVER $500,STREET,False,False,1733,17.0,33.0,16.0,06,1155704.0,1925278.0,2016,05/14/2016 03:53:39 PM,41.950762062,-87.703040532,"(41.950762062, -87.703040532)"
572721,10513326,HZ254787,05/07/2016 07:45:00 AM,026XX W 84TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,835,8.0,18.0,70.0,08B,1160125.0,1848565.0,2016,05/14/2016 03:53:39 PM,41.740162942,-87.688905189,"(41.740162942, -87.688905189)"
572808,10513328,HZ254862,05/07/2016 12:01:00 AM,010XX N WINCHESTER AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,1212,12.0,1.0,24.0,05,1163215.0,1906906.0,2016,05/14/2016 03:53:39 PM,41.900193244,-87.675948346,"(41.900193244, -87.675948346)"
573896,10513332,HZ254761,05/07/2016 07:50:00 AM,051XX S KEDZIE AVE,0880,THEFT,PURSE-SNATCHING,SIDEWALK,False,False,923,9.0,14.0,63.0,06,1155918.0,1870275.0,2016,05/14/2016 03:53:39 PM,41.799823914,-87.703736983,"(41.799823914, -87.703736983)"
575134,10513333,HZ254834,05/07/2016 09:30:00 AM,068XX S STONY ISLAND AVE,0560,ASSAULT,SIMPLE,CONVENIENCE STORE,False,False,332,3.0,5.0,43.0,08A,1188039.0,1860017.0,2016,05/14/2016 03:53:39 PM,41.770969165,-87.586268228,"(41.770969165, -87.586268228)"
575440,10513335,HZ254886,05/07/2016 09:30:00 AM,071XX S LANGLEY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,323,3.0,6.0,69.0,26,1182130.0,1857864.0,2016,05/14/2016 03:53:39 PM,41.765199925,-87.607994743,"(41.765199925, -87.607994743)"
576267,10513339,HZ254845,05/07/2016 10:00:00 AM,050XX S WASHINGTON PARK CT,0460,BATTERY,SIMPLE,STREET,False,False,223,2.0,3.0,38.0,08B,1180109.0,1871497.0,2016,05/14/2016 03:53:39 PM,41.802656712,-87.614984788,"(41.802656712, -87.614984788)"
576311,10513342,HZ254809,05/07/2016 02:30:00 AM,016XX W HARRISON ST,1570,SEX OFFENSE,PUBLIC INDECENCY,HOSPITAL BUILDING/GROUNDS,False,False,1231,12.0,2.0,28.0,17,1165491.0,1897444.0,2016,05/14/2016 03:53:39 PM,41.874180626,-87.66785807,"(41.874180626, -87.66785807)"
576924,10513794,HZ255576,05/07/2016 03:00:00 PM,026XX W PERSHING RD,0820,THEFT,$500 AND UNDER,ATHLETIC CLUB,False,False,911,9.0,12.0,58.0,06,1159428.0,1878696.0,2016,05/14/2016 03:53:39 PM,41.822860928,-87.690633793,"(41.822860928, -87.690633793)"
577379,10513344,HZ254829,05/07/2016 12:48:00 AM,053XX S COTTAGE GROVE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,233,2.0,5.0,41.0,14,1182489.0,1869878.0,2016,05/14/2016 03:53:39 PM,41.798159128,-87.606306599,"(41.798159128, -87.606306599)"
577510,10513346,HZ254878,05/07/2016 01:00:00 AM,028XX N SPRINGFIELD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2523,25.0,30.0,21.0,07,1149896.0,1918697.0,2016,05/14/2016 03:53:39 PM,41.932818488,-87.724562303,"(41.932818488, -87.724562303)"
577576,10513354,HZ254883,05/07/2016 10:30:00 AM,048XX W GLADYS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1533,15.0,24.0,25.0,08B,1144159.0,1897903.0,2016,05/14/2016 03:53:39 PM,41.875867319,-87.746168504,"(41.875867319, -87.746168504)"
577642,10513359,HZ254866,05/07/2016 10:15:00 AM,027XX W NORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,1423,14.0,26.0,24.0,06,1158043.0,1910528.0,2016,05/14/2016 03:53:39 PM,41.910239494,-87.694846269,"(41.910239494, -87.694846269)"
577774,10513366,HZ254874,05/07/2016 08:00:00 AM,008XX W MONTROSE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1914,19.0,46.0,3.0,06,1169658.0,1929414.0,2016,05/14/2016 03:53:39 PM,41.961818337,-87.651625789,"(41.961818337, -87.651625789)"
578169,10513367,HZ254902,05/07/2016 12:01:00 AM,012XX S KILDARE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,1011,10.0,24.0,29.0,26,1147911.0,1894117.0,2016,05/14/2016 03:53:39 PM,41.865406824,-87.732489678,"(41.865406824, -87.732489678)"
578806,10513368,HZ254922,05/07/2016 01:00:00 AM,063XX S EBERHART AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,312,3.0,20.0,42.0,14,1180669.0,1863081.0,2016,05/14/2016 03:53:39 PM,41.779549579,-87.613189584,"(41.779549579, -87.613189584)"
578916,10513369,HZ254930,05/07/2016 12:02:00 AM,010XX W 76TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,612,6.0,17.0,71.0,14,1170855.0,1854428.0,2016,05/14/2016 03:53:39 PM,41.756024579,-87.649420997,"(41.756024579, -87.649420997)"
579047,10513370,HZ254859,05/07/2016 09:17:00 AM,016XX W VAN BUREN ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,GAS STATION,False,False,1231,12.0,2.0,28.0,10,1165751.0,1898237.0,2016,05/14/2016 03:53:39 PM,41.876351148,-87.666880865,"(41.876351148, -87.666880865)"
579113,10513371,HZ254924,05/07/2016 12:30:00 AM,002XX E 96TH ST,0880,THEFT,PURSE-SNATCHING,STREET,False,False,511,5.0,6.0,49.0,06,1179358.0,1841367.0,2016,05/14/2016 03:53:39 PM,41.719993911,-87.618657049,"(41.719993911, -87.618657049)"
579377,10513372,HZ254838,05/07/2016 09:10:00 AM,045XX N KENNETH AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,True,False,1722,17.0,45.0,16.0,04A,1145643.0,1929829.0,2016,05/14/2016 03:53:39 PM,41.963447455,-87.739908582,"(41.963447455, -87.739908582)"
580501,10513374,HZ254848,05/07/2016 02:00:00 AM,025XX N WAYNE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1932,19.0,32.0,7.0,07,1166883.0,1916922.0,2016,05/14/2016 03:53:39 PM,41.927599841,-87.662187828,"(41.927599841, -87.662187828)"
580523,10513375,HZ254726,05/07/2016 05:00:00 AM,095XX S PRAIRIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,511,5.0,6.0,49.0,08B,1179602.0,1841750.0,2016,05/14/2016 03:53:39 PM,41.721039351,-87.617751689,"(41.721039351, -87.617751689)"
580633,10513376,HZ254849,05/07/2016 07:45:00 AM,0000X E CHESTNUT ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESTAURANT,False,False,1833,18.0,42.0,8.0,10,1176323.0,1906330.0,2016,05/14/2016 03:53:39 PM,41.898326955,-87.627820055,"(41.898326955, -87.627820055)"
580894,10513386,HZ254927,05/07/2016 10:57:00 AM,012XX N LOCKWOOD AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,True,False,2532,25.0,37.0,25.0,26,1140794.0,1907902.0,2016,05/14/2016 03:53:39 PM,41.903368308,-87.758277696,"(41.903368308, -87.758277696)"
580983,10513389,HZ254885,05/07/2016 09:55:00 AM,012XX W LELAND AVE,0560,ASSAULT,SIMPLE,HOTEL/MOTEL,False,False,1913,19.0,46.0,3.0,08A,1167324.0,1931353.0,2016,05/14/2016 03:53:39 PM,41.967189655,-87.660150847,"(41.967189655, -87.660150847)"
581092,10513394,HZ254897,05/07/2016 10:38:00 AM,015XX W HADDON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,False,1213,12.0,1.0,24.0,04A,1165866.0,1907750.0,2016,05/14/2016 03:53:39 PM,41.902453082,-87.666187058,"(41.902453082, -87.666187058)"
581158,10513395,HZ254833,05/07/2016 09:00:00 AM,0000X W ELM ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,1824,18.0,42.0,8.0,04A,1175626.0,1908082.0,2016,05/14/2016 03:53:39 PM,41.903150229,-87.630327324,"(41.903150229, -87.630327324)"
